cleaned_text,tokens
"Lisa, if you don't like your job you don't strike. You just go in every day and do it really half-assed. That's the American way.",lisa like job strike day half asse american way
I know. And this perpetual motion machine she made today is a joke. It just keeps going faster and faster.,know perpetual motion machine today joke keep go fast fast
"Kids are so naÃ¯ve. Lisa, when you get to be our age, you'll learn a few things, like when a sign says ""Do Not Feed The Bears,"" man, you'd better not feed the bears.",kid lisa age learn thing like sign say feed bears man well feed bear
"Well, it's like the time that your cat, Snowball, got run over.",like time cat snowball get run
"Lisa, honey, if you really want to preserve his memory, I recommend getting a tattoo. It preserves the things you love.",lisa honey want preserve memory recommend get tattoo preserve thing love
Jazz. They just make it up as they go along. I could do that. Dee dee dee dee dee dee dee dee dee dee dee dee dee.,jazz dee dee dee dee dee dee dee dee dee dee dee dee dee
"OK, then this. Doo doo doo doo doo doo doo... doo doo doo doo doo doo",ok doo doo doo doo doo doo doo doo doo doo doo doo doo
"Laser effects, mirrored balls. John Williams must be rolling around in his grave.",laser effect mirror ball john williams roll grave
"Whoa, careful now. These are dangerous streets for us upper-lower-middle-class types... So avoid eye contact, watch your pocketbook and suspect everyone.",whoa careful dangerous street upper low middle class type avoid eye contact watch pocketbook suspect
"Yes, it is exhilarating to see the police get their man and save a hysterical woman.",yes exhilarate police man save hysterical woman
Nothing. I'm just a little edgy since your mother told me she wants to be a cop.,little edgy mother tell want cop
"Marge, you being a cop makes you the man, which makes me the woman. And I have no interest in that, besides occasionally wearing the underwear, which, as we discussed, is strictly a comfort thing.",marge cop make man make woman interest occasionally wear underwear discuss strictly comfort thing
". Fooled you Flanders. Made you think your family was dead. Didja get it? They're not, though.",fool flanders think family dead didja
"Hey, hurry it up with the cards, Lenny. I've got you clocked at two miles per hour.",hey hurry card lenny get clocked mile hour
"Oh, you've become such a cop! And, not that long ago, you were so much more to me - you were a cleaner of pots, a sewer of buttons, an unplugger of hairy clogs.",oh cop long ago cleaner pot sewer button unplugger hairy clog
"I'll make you a deal. You rip up that ticket, and I'll give you back your hat. Wuh, wuh, wuh! Hee, hee-hee!",deal rip ticket hat wuh wuh wuh hee hee hee
"What're you gonna do about it? What're you gonna do? Ooh, I'm Officer Marge, I'm gonna arrest you! Whoa! etc.",go to go to ooh officer marge go to arrest whoa etc
Lemme just finish this last lobster tail and raspberry torte.,lemme finish lobster tail raspberry torte
"I have nothing more to say to you, Marge. I'm drawing a line down the center of the house Ã  la ""I Love Lucy"" -- you stay on your side and I'll stay on my side.",marge draw line center house ã la love lucy stay stay
"Boy, when Marge first told me she was going to the Police Academy, I thought it'd be fun and exciting, you know, like that movie, ""Spaceballs."" But instead, it's been painful and disturbing, like that movie ""Police Academy.""",boy marge tell go police academy think fun exciting know like movie spaceball instead painful disturbing like movie police academy
"Hey Herman, I had to come out here to see what's so funny - A counterfeit jeans ring operating out of my car hole! I'm gonna tell everyone! Wait here.",hey herman come funny counterfeit jean ring operate car hole go to tell wait
"Herman, how could you? We've all thought about counterfeiting jeans at one time or another, but what about the victims? Hard working designers, like Calvin Klein, Gloria Vanderbilt, or Antoine Bugle Boy. These are the people who saw an over-crowded marketplace and said, ""me too.""",herman think counterfeit jean time victim hard work designer like calvin klein gloria vanderbilt antoine bugle boy people see crowded marketplace say
"It's too late for me, Marge! Sell the jeans and live like a queen.",late marge sell jean live like queen
"Oh, Marge. You saved my life! I'm sorry I teased you. You're a really good cop. I'm proud of you.",oh marge save life sorry tease good cop proud
"Yes, Bart's a tutor now. Tute on, Son! Tute on!",yes bart tutor tute son tute
"Now, Marge, you can't blame all of Bart's problems on your one little speech. If anything turned him bad, it's that time you let him wear a bathing suit instead of underwear. And let's not forget your little speech...",marge blame bart problem little speech turn bad time let wear bathing suit instead underwear let forget little speech
"Yes, there is. Come on, everybody, let's go into Shelbyville and get those kids back ourselves! I got an R.V. we can use... Flanders's!",yes come everybody let shelbyville kid get use flanders
"You kids are in big trouble, running away from home like this.",kid big trouble run away home like
"I don't care what excuse you've got, nothing's gonna stop me in the middle of this speech, you're gonna -- lemon tree?!!",care excuse get go to stop middle speech go to lemon tree
"This is the darkest day in the history of Springfield. If anybody wants me, I'll be in the shower.",dark day history springfield anybody want shower
"I hate my job. I mean, what's the point when your boss doesn't even remember your name?",hate job mean point boss remember
Homer Simpson! Homer Simpson! Shut up! Homer Simpson! My name is Homer Simpson!,homer simpson homer simpson shut homer simpson homer simpson
"Oh, you're a dead man! Oh, you're dead! You're dead Burns!",oh dead man oh dead dead burn
"Kids! Kids! Kids! As far as Daddy's concerned, you're both potential murderers.",kid kid kid far daddy concern potential murderer
"Yeah, right. You chose fruit, you live with fruit.",yeah right choose fruit live fruit
I've got no time for your demented parlor games! You won't be telling anyone else that Homer Simpson shot you.,get time demented parlor game will tell homer simpson shoot
"Yeah. And who the hell are you talkin' to? Marge, do you have other men in this house? Radioactive men?",yeah hell talkin marge man house radioactive man
"Guess what, kids. They're gonna pay us fifty dollars a day to film some of the movie here.",guess kid go to pay dollar day film movie
"Hooey! Whew, oh. You know, I never walk out of a movie, but Eech!",hooey whew oh know walk movie eech
"Oh, I always wanted to be a teamster. So lazy and surly. Mind if I relax next to you?",oh want teamster lazy surly mind relax
"Ahhh, that's better. Now that we're alone, Papa Bear has a li'l honey for his Mama Bear.",ahhh well papa bear honey mama bear
"C'mon, Honey, you work yourself stupid for this family. If anyone deserves to be wrapped up in seaweed and buried in mud, it's you.",honey work stupid family deserve wrap seaweed bury mud
We leave you the kids for three hours and the county takes them away?!,leave kid hour county take away
Saxa-ma-phone. Saxa-ma-phone.,saxa ma phone saxa ma phone
"Oh, Marge, don't blame yourself. I'm the terrible parent. The boy bugs the hell outta me, I can't help Lisa with her homework. The only thing I'm fit to take care of is a houseplant.",oh marge blame terrible parent boy bug hell outta help lisa homework thing fit care houseplant
"Now wait a minute! Okay, I'm not gonna win Father of the Year. In fact, I'm probably the last guy in the world who should have kids. Wait, can I start again? Fathering children is the best part of my day... I'd do anything for Bart and Lisa!",wait minute okay go to win father year fact probably guy world kid wait start fathering child good day bart lisa
"No! I've gotta pass this class for my kids. Son, let's stop the fussin' and a-feudin'.",get to pass class kid son let stop fussin feudin
"Okay, okay, don't panic. To find Flanders, I just have to think like Flanders!",okay okay panic find flanders think like flanders
"Oh, Bartholemew, I feel like St. Augustine of Hippo after his conversion by Ambrose of Milan.",oh bartholemew feel like augustine hippo conversion ambrose milan
Why? That was the problem in the first place. You were going broke because we were your only customers. Wasn't that the problem in the first place? That you were going broke... Moe?,problem place go break customer problem place going break moe
"Moe? Hey, Moe? Oh, you're thinking about all the money you blew, aren'tcha?",moe hey moe oh think money blow
"What was it? 50-60 thousand dollars? ... Moe? Look, maybe it would help if you went over all the mistakes you made from the beginning... Moe?",thousand dollar moe look maybe help go mistake beginning moe
I can't believe you didn't invite me after I painted those cool stripes all over your car. I know! I'll throw my own barbecue - the greatest barbecue this town has ever seen! And I'll only invite who I want. That'll show ya.,believe invite paint cool stripe car know throw barbecue great barbecue town see invite want ya
"This barbecue will be hard, thankless work, but I'm sure you're up to it, Marge.",barbecue hard thankless work sure marge
"You know what you should serve, Marge? More of these lamb chops. These are the best ever.",know serve marge lamb chop good
"Wait a minute, wait a minute, wait a minute. Lisa, honey -- are you saying you're never going to eat any animal again? What about bacon?",wait minute wait minute wait minute lisa honey say go eat animal bacon
"Yeah, right, Lisa. A wonderful, MAGICAL animal.",yeah right lisa wonderful magical animal
"Look, kids! I just got my party invitations back from the printer's.",look kid get party invitation printer
"But all normal people love meat. If I went to a barbecue and there was no meat, I would say, ""Yo, Goober! Where's the meat?"" I'm trying to impress people here, Lisa. You don't win friends with salad.",normal people love meat go barbecue meat yo goober meat try impress people lisa win friend salad
"I've got the prescription for you, doctor: another hot beef injection.",get prescription doctor hot beef injection
"Okay, everybody. It's the moment you've all been waiting for! The pig de rÃ©sistance!",okay everybody moment wait pig de rã sistance
"Lisa, you ruined my barbecue. I demand you apologize this second!",lisa ruin barbecue demand apologize second
"Marge, since I'm not talking to Lisa, would you please ask her to pass me the syrup?",marge talk lisa ask pass syrup
"Marge, tell Bart I just want to drink a nice glass of syrup like I do every morning.",marge tell bart want drink nice glass syrup like morning
"I don't need any serving suggestions from you, you barbecue-wrecking know-nothing know-it-all.",need serve suggestion barbecue wreck know know
"Lisa! Lisa, come back before everyone finds out what a horrible father I am!",lisa lisa come find horrible father
"Oh, Lisa, I was looking for you. I wanted to apologize. I don't know exactly what went wrong, but I know it's always my fault.",oh lisa look want apologize know exactly go wrong know fault
"C'mon, I'll give you a piggy-back ride, oops, I mean a veggie-back ride home.",piggy ride oops mean veggie ride home
"Ah, the Miracle Mile -- where value wears a neon sombrero and there's not a single church or library to offend the eye. It truly is a miracle.",ah miracle mile value wear neon sombrero single church library offend eye truly miracle
"I paid for a colossal donut, and I'm gonna get a colossal donut.",pay colossal donut go to colossal donut
"Hee hee hee. I've got your donut, Lard Lad! And what are you gonna do about it?",hee hee hee get donut lard lad go to
Hello? Yes? Oh! Uh... if you're looking for that big donut of yours... uh... Flanders has it. Just smash open his house.,hello yes oh uh look big donut uh flanders smash open house
"Man, this place looks expensive. I feel like I'm wasting a fortune just standing here. Better make the most of it.",man place look expensive feel like waste fortune stand well
"Oh, there's so much I don't know about astrophysics. I wish I'd read that book by that wheelchair guy.",oh know astrophysic wish read book wheelchair guy
I'm gonna be sucked into the black hole!... I'm gonna be sucked into oblivion!... I'm gonna be nothing and what's gonna become of me on the other side?! I don't know...,go to suck black hole go to suck oblivion go to go to know
Crap crap crap crap crap crap crap crap!,crap crap crap crap crap crap crap crap
"Yeah! Especially your big fat... Oh, wait.",yeah especially big fat oh wait
Must hurt self. Must hurt self. Must hurt self.,hurt self hurt self hurt self
"Carpal Tunnel Syndrome? No. Lumber Lung? No. Juggler's Despair? No. Achy-Breaky Pelvis? No. Oh, I'm never gonna be disabled. I'm sick of being so healthy!",carpal tunnel syndrome lumber lung juggler despair achy breaky pelvis oh go to disable sick healthy
"Hey, wait... ""Hyper-Obesity."" ""If you weigh more than 300 pounds, you qualify as disabled.""",hey wait hyper obesity weigh pound qualify disabled
"Yuh-huh, that's the deal. No more exercise program! No more traffic! No more blood drives or charity walks!",yuh huh deal exercise program traffic blood drive charity walk
"I'm not saying it isn't sleazy, honey. But try to see it my way. All my life I've been an obese man trapped inside a fat man's body.",say sleazy honey try way life obese man trap inside fat man body
"No. It would only worry her. If you want to add to her worries, go ahead. I guess I'm just a little more grateful for all she's done for us.",worry want add worry ahead guess little grateful
"Oh yeah? Well, we'll just see about that, Little Miss Smart Guy.",oh yeah little miss smart guy
"Oh, it's a dream come true, boy! I can, nay, I must, eat everything I've always wanted. Now c'mon! Every second I'm out of bed, I'm burning precious calories. Now get grabbin'!",oh dream come true boy nay eat want second bed burn precious calorie grabbin
Woo hoo! Four more pounds and my dream comes true: Working at home...,woo hoo pound dream come true work home
"Hey, Flanders, bad day at the rat races?",hey flanders bad day rat race
"I was going to surprise you, but what the heck -- Honey, I'm purposely gaining sixty-one pounds to get on disability.",go surprise heck honey purposely gain pound disability
I've got fifteen minutes to gain a pound or I gotta face another day at work.,get minute gain pound get to face day work
"Oh, honey, that looks just like a real donut...",oh honey look like real donut
I'm looking for something loose and billowy. Something comfortable for my first day of work.,look loose billowy comfortable day work
I don't want to look like a weirdo. I'll just go with a muu-muu.,want look like weirdo muu muu
I pity those poor suckers on the freeway. Gas-brake-honk. Gas-brake-honk. Honk-honk-punch. Gas-gas-gas.,pity poor sucker freeway gas brake honk gas brake honk honk honk punch gas gas gas
Eight fifty-eight. First time I've ever been early for work. Except for all those daylight savings days. Lousy farmers.,time early work daylight saving day lousy farmer
"I see essc, ctarl, and pig-up. There doesn't seem to be any ""any"" key. All this computer hacking is making me thirsty. I think I'll order a Tab.",essc ctarl pig key computer hacking make thirsty think order tab
Check core temperature? Yes-slash-No. Yes.,check core temperature yes slash yes
"Core temperature normal. Not too shabby. ""Vent radioactive gas?"" N-O.",core temperature normal shabby vent radioactive gas n
Venting prevents explo-si-on. This is hard. Where's my Tab? Okay then -- yes. Vent the stupid gas.,venting prevent explo si hard tab okay yes vent stupid gas
Bart and Lisa have to go to school while I get to stay home. Nyah nyah nyah nyah nyah nyah.,bart lisa school stay home nyah nyah nyah nyah nyah nyah
"And nobody's gonna take it away from me! You never had faith in me before. But let me tell you, the slim, lazy Homer you knew is dead. Now I'm a big fat dynamo. And where's that cake?",go to away faith let tell slim lazy homer know dead big fat dynamo cake
"Hey, Miss Doesn't-Find-Me-Attractive Sexually-Anymore. I just tripled my productivity.",hey miss find attractive sexually anymore triple productivity
"Y... Y... Y... Let's see, so many letters to choose from. I'll pick Y.",y y y let letter choose pick
"Oooo! ""An Urgent Plea From Edward James Olmos!"" ""Lisa Simpson: Can you afford to miss another issue of The Utne Reader?"" Kids.",oooo urgent plea edward james olmos lisa simpson afford miss issue utne reader kid
Free sample of fabric softener? Woo hoo!,free sample fabric softener woo hoo
"Shame on all of you. Give me my dignity! I just came here to see ""Honk If You're Horny"" in peace.",shame dignity come honk horny peace
"This may surprise you, but you can't buy me off with food! I'm sick of all your stereotypes and cheap jokes! The overweight individuals in this country are just as smart and talented and hard-working as everybody else. And they're gonna make their voices heard! All they need is a leader!",surprise buy food sick stereotype cheap joke overweight individual country smart talented hard working everybody go to voice hear need leader
"I'll work harder than ever before, and show the world overweight people aren't undisciplined, lazy, and irresponsible! What happened to my bird?",work hard world overweight people undisciplined lazy irresponsible happen bird
Tank must be shut down manually?! Stupid bird! I never should have put you in charge! Why you...,tank shut manually stupid bird charge
"Thank you, Mr. Burns. It was pretty scary up there. But... For a while I feared for my life.",thank burns pretty scary fear life
"Right away, Mr. Smithers! I'll just walk across these slippery rooooock --",right away smithers walk slippery rooooock
"Best six hundred bucks I ever spent. C'mon, boy. We've earned this Saturday, now let's make the most of it.",best buck spend boy earn saturday let
"Listen here. My name is Homer J. Simpson. You guys think I'm dead, but I'm not. Now I want you to straighten this out without a lot of your bureaucratic red tape and mumbo-jumbo.",listen homer simpson guy think dead want straighten lot bureaucratic red tape mumbo jumbo
"I don't like your attitude, you water-cooler dictator. What do you have in that secret government file, anyway? I have a right to read it.",like attitude water cooler dictator secret government file right read
"""Wife: Marjorie. Children: Bartholomew, Lisa..."" Aha! See, this thing is all screwed up. Who the heck is ""Margaret"" Simpson?",wife marjorie child bartholomew lisa aha thing screw heck margaret simpson
"""Youngest daughter..."" Well, how about this? This thing says my mother's still alive. She died when I was a kid.",young daughter thing say mother alive die kid
You see that stone angel up there? That's my mother's grave. My Dad points it out every time we drive by.,stone angel mother grave dad point time drive
"Oh, Mom. I'm sorry I never come to see you. I'm just not a cemetery person.",oh mom sorry come cemetery person
"Damn you, Walt Whitman! I... hate... you... Walt... freakin'... Whitman! ""Leaves of Grass"" my ass! Wait a minute. Maybe it's that other grave. The one that says ""Simpson.""",damn walt whitman hate walt freakin whitman leaves grass ass wait minute maybe grave say simpson
"I hate to rain on your parade, lady, but this is my grave. Hey, wait a minute... Mom?",hate rain parade lady grave hey wait minute mom
Some people say I look like Dan Aykroyd. I can't believe you're here. Dad always told me you died while I was at the movies.,people look like dan aykroyd believe dad tell die movie
"Hey, everybody, I've got a big surprise for you! Presenting: my mother!",hey everybody get big surprise presenting mother
Woo hoo! I'm so glad to have my mom back! I never realized how much I missed her.,woo hoo glad mom realize miss
I 'unno. I guess I was just a horrible son and no mother would want me.,unno guess horrible son mother want
"Wait a minute. There's one thing I don't understand. In all those years, why didn't you ever try to contact me?",wait minute thing understand year try contact
"Oh, come on, Mom. We use that same line on the kids when they're at camp.",oh come mom use line kid camp
"Mom, there's nothing to be alarmed about, but could you take one last look at the family and join me in the kitchen?",mom alarmed look family join kitchen
That Sideshow Mel thinks he's so big. Whatever happened to Sideshow Bob?,sideshow mel think big happen sideshow bob
"Oh, yeah... But what I'll mainly remember is the laughter. I wonder what he's doing now?",oh yeah mainly remember laughter wonder
"Heh, heh. Why jerk my neck around like a goon when Tyranno-Vision decides what I should look at?",heh heh jerk neck like goon tyranno vision decide look
"Hang on, boy! Daddy's comin' to save ya!",hang boy daddy comin save ya
"Well, I wrecked the gate but you don't hear me bragging. Now let's roll.",wreck gate hear brag let roll
"Eighteen seconds, hmph. If this were really a nuclear war, we'd all be dead meat by now. Say, you're all shivering. Are you cold or what?",eighteen second hmph nuclear war dead meat shiver cold
"Bart! Bart! Time for your Sunday night bath, boy!",bart bart time sunday night bath boy
"Oooh! Look at me, I'm making people happy. I'm the Magical Man from Happyland in a gum drop house on Lollipop Lane!",oooh look make people happy magical man happyland gum drop house lollipop lane
"SIMPSON, HOMER SIMPSON / HE'S THE GREATEST GUY IN HISTORY / FROM THE TOWN OF SPRINGFIELD / HE'S ABOUT TO HIT A CHESTNUT TREE",simpson homer simpson greatest guy history town springfield hit chestnut tree
"But it won't make you unhappy, right? Hey! Space Food Sticks! Oh, I wish I had these on my space adventure! Did you know I was blasted into space two years ago, Mom?",will unhappy right hey space food sticks oh wish space adventure know blast space year ago mom
"Well, you'll be happy to know I don't work very hard. Actually, I'm bringing the plant down from the inside.",happy know work hard actually bring plant inside
"No it doesn't, it's funny. Their clothes are different from my clothes. Look at what they're wearin'.",funny clothe different clothe look wearin
"Or what? You'll release the dogs? Or the bees? Or the dogs with bees in their mouths, and when they bark, they shoot bees at you? Well go ahead, do your worst.",release dog bee dog bee mouth bark shoot bee ahead bad
"Young man, in this house, we use a little word called ""please""...",young man house use little word call
"I know how you feel, Bart. When I was your age, I wanted an electric football game more than anything in the world, and my parents bought it for me, and it was the happiest day of my life. Well, goodnight.",know feel bart age want electric football game world parent buy happy day life goodnight
"Gotta change Maggie! Dear God, we gotta change Maggie!",get to change maggie dear god get to change maggie
"'Tis the season, Marge! We only get thirty sweet, noggy days, then the government takes it away again!",tis season marge thirty sweet noggy day government take away
I wanna price some flip-flops and smell the new tires and consult the pharmacist for some free medical advice!,wanna price flip flop smell new tire consult pharmacist free medical advice
Uh-oh. Somebody's got tired little legs.,uh oh somebody get tired little leg
"Maybe it's ""Sporting Goods""... Wait, no, ""Sleepwear""... Oh, probably ""Better Living.""",maybe sporting goods wait sleepwear oh probably better living
"Stealing?! How could you?! Haven't you learned anything from that guy who gives those sermons at church? Captain what's-his-name? We live in a society of laws. Why do you think I took you to all those ""Police Academy"" movies? For fun? Well, I didn't hear anybody laughing, did you? Except at that guy who made sound effects. Where was I? Oh yeah, stay out of my booze!",steal learn guy give sermon church captain live society law think take police academy movie fun hear anybody laugh guy sound effect oh yeah stay booze
"I've figured out the boy's punishment. First: he's grounded. No leaving the house, not even for school. Second: No eggnog. In fact, no nog period. And third, absolutely no stealing for three months.",figure boy punishment ground leave house school second eggnog fact nog period absolutely stealing month
"Check it out, boy! It's like looking into a living snow mirror!",check boy like look live snow mirror
"Ooo! ""Snappy Answers to Stupid Questions""! I'm great at these. Ask me if something smells funny in here, boy.",ooo snappy answers stupid questions great ask smell funny boy
"Well, you're closing. It's getting late. My kids are probably wondering where their daddy is. There's gotta be some other place we can go. Think, Moe. Think.",close get late kid probably wonder daddy get to place think moe think
I'm tired of being a wannabe league bowler. I wannabe a league bowler.,tired wannabe league bowler wannabe league bowler
"Five hundred dollars?! No problem. Would you take an out-of-state, two-party bad check?",dollar problem state party bad check
"Aw, come on, Marge! You're getting something in return! And I'm getting a bowling team. It's win/win!",aw come marge get return get bowling team win win
"Burns never gives money to anybody. Just last week, I asked him for fifteen hundred dollars.",burns give money anybody week ask dollar
"Mr. Burns, I, uh, was wondering if you'd like to sponsor my bowling team... for five hundred dollars.",burns uh wonder like sponsor bowling team dollar
"Hey, everybody, if you want to ask Burns for a favor, now's the time! He's doped up or dyin' or something!",hey everybody want ask burns favor time dope dyin
"Oh, c'mon, if we quit now we'll never know how badly they're gonna beat us.",oh quit know badly go to beat
"C'mon, guys. Let's be the team that supports each other. YOU CAN DO IT OTTO / YOU CAN DO IT OTTO / HELP EACH OTHER OUT, THAT'LL BE OUR MOTTO...",guy let team support otto otto help motto
"So I got up all my courage. Right away, my lips started to move and I came up with a chant that won the match.",get courage right away lip start come chant win match
"Marge, you're missing the point. The individual doesn't matter. It was a team effort and I was the one who came up with the whole team idea. Me.",marge miss point individual matter team effort come team idea
"Ah, ha, ha, ha, God-boy couldn't get a strike.",ah ha ha ha god boy strike
"Yeah, Moe, that team sure did suck last night! They just plain sucked! I've seen teams suck before, but they were the suckiest bunch of sucks that ever sucked!",yeah moe team sure suck night plain suck see team suck sucki bunch suck suck
Gotta go. My damn wiener kids are listening.,get to damn wiener kid listen
"""They made us!"" That's loser talk! You gotta start acting more like me and my team, the future league champions of the world! Nothing's gonna stop us now!",loser talk get to start act like team future league champion world go to stop
"Look, guys. It's not that simple, he's my boss. I'll tell you what: I'll give him a shot and if he stinks, it'll be easier to tell him no.",look guy simple boss tell shot stink easy tell
"Aw, Marge, we were so close to winning the championship. Now thanks to Burns it's never gonna happen. And I spent so much time building that trophy case.",aw marge close win championship thank burns go to happen spend time build trophy case
So you're saying we're definitely gonna win? -- Woo hoo! I won't need this any more!,say definitely go to win woo hoo will need
"I guess some people never change. Or they quickly change, and then quickly change back.",guess people change quickly change quickly change
Good ol' Evergreen Terrace. The swankiest street in the classiest part of Pressboard Estates.,good evergreen terrace swanky street classy pressboard estates
"Hey! What's wrong with this neighborhood? Big shot. Too good to buy a house here, Snobby?",hey wrong neighborhood big shot good buy house snobby
"But, Marge, it works on any Ayatollah! Ayatollah Nakhbadeh, Ayatollah Zahedi... Even as we speak, Ayatollah Razmara and his cadre of fanatics are consolidating their power!",marge work ayatollah ayatollah nakhbadeh ayatollah zahedi speak ayatollah razmara cadre fanatic consolidate power
"Marge, that's the Rhinestone Nights Fashion Gun. I need it to rhinestone-up my old clothing.",marge rhinestone nights fashion gun need rhinestone old clothing
"Oh. I wanted to write ""DISCO STUD"" but I ran out of space. Not that ""Disco Stu"" didn't get his share of the action!",oh want write disco stud run space disco stu share action
I think this is the best neighborhood in town. Anybody agree with me?,think good neighborhood town anybody agree
"Hey, big spender! / Dig this blender! / Rainbow suspenders!...",hey big spender dig blender rainbow suspender
"Thank you, neighbors, thank you! Now let's give it up for Table Five! Ah-ah-ah-ah / Table Five, Table Five... Ah-ah-ah-ah / Table Fi-i-i-i-i-i-ve...",thank neighbor thank let table ah ah ah ah table table ah ah ah ah table fi ve
"Hey, what's the big deal? It's just some new guy moving in!",hey big deal new guy move
Why did he have to move in on my territory? Look at him. Thinks just because he led the free world he can act like a big shot.,territory look think lead free world act like big shot
"I voted for Prell to go back to the old glass bottle. After that, I became deeply cynical.",vote prell old glass bottle deeply cynical
I guess you might say he's barking up the wrong bush. Heh heh heh.,guess bark wrong bush heh heh heh
"Oh, man, I've only got one minute 'til they stop serving those Breakfast Balls...",oh man get minute til stop serve breakfast balls
"All right. His story checks out. Marge, would you love me more if I were president? 'Cause I'll do it if it will make you happy.",right story check marge love president happy
"First Bush invades my home turf, then he takes my pals, then he makes fun of the way I talk... probably..., now he steals my right to raise a disobedient, smart-alecky son! Well, that's it!",bush invade home turf take pal make fun way talk probably steal right raise disobedient smart alecky son
"Oooh? Hiding behind your goons, eh, Bush? Oooh! Well, you are a wimp.",oooh hide goon eh bush oooh wimp
This is gonna be sweet. Two hundred bottle rockets and George Bush doing toe touches by an open window.,go to sweet bottle rocket george bush toe touch open window
"It's your sons, George Bush Jr. and Jeb Bush. Come outside, Dad!",son george bush jeb bush come outside dad
"Oh, brought some of your commie friends to help you fight dirty, eh?",oh bring commie friend help fight dirty eh
"Woo hoo! In your face, Bush! Now apologize for the tax hike.",woo hoo face bush apologize tax hike
Former President Gerald Ford? Put 'er there! I'm Homer Simpson.,president gerald ford er homer simpson
"Look at these low, low prices on famous brand name electronics!",look low low price famous brand electronic
"I know a genuine Panaphonics when I see it. And look, there's Magnetbox and Sorny.",know genuine panaphonic look magnetbox sorny
"Uh, c'mon, kids, let's go sit in the car 'til your Mom's done fitting in.",uh kid let sit car til mom fitting
"Just slap some bumper stickers on it and come to bed, willya, Marge?",slap bumper sticker come bed willya marge
"Oh, this game could mean big things for me, Marge. If I beat Mr. Burns, I mean really wallop him bad... I'm sure to get that big raise I've been gunning for.",oh game mean big thing marge beat burns mean wallop bad sure big raise gun
"Good morning, Mr. Burns. Beautiful day to be outside, isn't it?",good morning burns beautiful day outside
"Mmm, open-faced club sand wedge...",mmm open faced club sand wedge
"These aren't reptile eggs! You've been cheating! No matter where Mr. Burns hits the ball, you put a fresh one on the green!",reptile egg cheat matter burns hit ball fresh green
Bull-honkey! I don't care about joining this stupid club.,bull honkey care join stupid club
I'm driving up to the main building. They've got valet parking tonight.,drive main building get valet parking tonight
"But Marge, valets. For once, maybe someone will call me ""Sir,"" without adding ""you're making a scene.""",marge valet maybe sir add make scene
"I'm gonna regale everyone with my anecdote. You know, the one I tried to say on the radio? Heh, heh, who's gonna bleep me this time?",go to regale anecdote know try radio heh heh go to bleep time
"You kids should thank your mother. Now that she's a better person, we can see how awful we really are.",kid thank mother well person awful
Poor Aunt Hortense... woo-hoo... woo-hoo...,poor aunt hortense woo hoo woo hoo
"Um, I'll have four Tax Burgers, one IRS-Wich -- withhold the lettuce -- three dependent-sized sodas and a FICAccino.",um tax burgers irs wich withhold lettuce dependent sized soda ficaccino
"Yeah, even with all his problems, he's still willing to do something unbelievably dangerous just to entertain his fans.",yeah problem willing unbelievably dangerous entertain fan
"Don't worry, son. I'm sure he's up in Heaven right now, laughing it up with all the other celebrities -- John Dillinger, Ty Cobb, Joseph Stalin... I wish I were dead.",worry son sure heaven right laugh celebrity john dillinger ty cobb joseph stalin wish dead
"Don't let Krusty's death get you down, boy. People die all the time. Just like that. Why, you could wake up dead tomorrow. Well, good night.",let krusty death boy people die time like wake dead tomorrow good night
"Hey, they need volunteers to play old-timey people in the parade. Look, I can be a butter churner, a typhoid carrier... an apprentice! I think I'll be an apprentice, Marge.",hey need volunteer play old timey people parade look butter churner typhoid carrier apprentice think apprentice marge
Hear ye! Hear ye! Ye olde town crier proclaimed crappy by all! Chooseth Homer Simpson and he shalt rock thy world!,hear ye hear ye ye olde town crier proclaim crappy chooseth homer simpson shalt rock thy world
"Woo hoo! Hear ye! Hear ye! The Homer Broadcasting System is on the air! All hollering, all the time! I'm gonna make the...",woo hoo hear ye hear ye homer broadcasting system air holler time go to
"No tongue, eh? How did he talk and eat and laugh and love?",tongue eh talk eat laugh love
"Of course I do. You're always right about this type of thing, and for once, I want in on the ground floor.",course right type thing want ground floor
"I've been called a greasy thug too, and it never stops hurting. So here's what we're gonna do: grease ourselves up real good, and trash that place with a baseball bat.",call greasy thug stop hurt go to grease real good trash place baseball bat
"Come on, we can use the baseball bat to smash open the case.",come use baseball bat smash open case
"Town Crier. I'd like to ask you a few questions. One: where's the fife, and two: give me the fife.",town crier like ask question fife fife
"Oh, sure I do. I always believe in helping the little guy, and you're the littlest guy I know.",oh sure believe help little guy little guy know
"Okay, well, that's not gonna stop us. I know a much better way to get attention...",okay go to stop know well way attention
"Hear ye, hear ye, my daughter has something to tell you about Jebediah Springfield.",hear ye hear ye daughter tell jebediah springfield
"DIG HIM UP! Dig up that corpse!! If you really love Jebediah Springfield, you'll haul his bones out of the ground to prove my daughter wrong!",dig dig corpse love jebediah springfield haul bone ground prove daughter wrong
"Hear ye, hear ye, everybody makes mistakes. Let's go home.",hear ye hear ye everybody make mistake let home
"Oh, it's not your fault, honey. I'm supposed to be the responsible one. I shouldn't have let you let me get carried away.",oh fault honey suppose responsible let let carry away
"Hear ye, HEAR YE, HEAR YE!!",hear ye hear ye hear ye
I think Smithers picked me because of my motivational skills. Everyone always says they have to work a lot harder when I'm around.,think smithers pick motivational skill say work lot hard
