cleaned_text,tokens
"Oh, all right. You always do that hand thing! And it usually works.",oh right hand thing usually work
"Oh, Marge, you saved me from making a big mistake. Y'know, I finally understand the meaning of mmphm hnmph.",oh marge save make big mistake finally understand meaning mmphm hnmph
"She's right. Okay, think, Homer. Don't panic. They don't pick up the mail till noon. There's still time!",right okay think homer panic pick mail till noon time
Ow. Ow. Ow. Ow. Ow. Ow. Ow.,ow ow ow ow ow ow ow
"Locked, eh? Well, I just might have a little surprise up my sleeve for old Mr. Lock. Step aside, boy.",locked eh little surprise sleeve old lock step aside boy
"What does it look like? I'll get our letter so wet, the ink will run and no one will be able to read it.",look like letter wet ink run able read
"So a few people won't get a few letters. Boo-hoo. You know the kinda letters people write: ""Dear Somebody-You-Never-Heard-Of... How is So-and-So? Blah blah blah blah blah blah blah. Yours truly, Some Bozo."" Big loss.",people will letter boo hoo know kinda letter people write dear somebody hear blah blah blah blah blah blah blah truly bozo big loss
"Uh, uh I-I guess it wouldn't do any good to run, 'cause you're our mail lady and you know my name and address and everything, huh?",uh uh guess good run mail lady know address huh
"Lisa, I don't know what you're doing, but it's very strange and your father is trying to worry.",lisa know strange father try worry
Twenty eight minutes till Burns comes. Time for operation Mail Take.,minute till burns come time operation mail
"Oh, I've never seen Mr. Burns this mad and he's always kinda mad.",oh see burns mad kinda mad
"Okay, here's the plan. You can move in with your sisters and raise the kids. And I'll... die in a gutter. It's practical and within our means.",okay plan sister raise kid die gutter practical mean
"What did I tell you? I'll bet it's filled with diamonds, rubies, sapphires, pearls...",tell bet fill diamond ruby sapphire pearl
"Save a guy's life, and whattaya get? Nothin'! Worse than nothin'! Just a big, scary rock.",save guy life whattaya worse big scary rock
"Wait a minute. If I hadn't written that nasty letter, we wouldn't have gotten anything!",wait minute write nasty letter get
"Marge, I can't wear a pink shirt to work. Everybody wears white shirts. I'm not popular enough to be different.",marge wear pink shirt work everybody wear white shirt popular different
"Oh, gimme, gimme, gimme, gimme, gimme!",oh gimme gimme gimme gimme gimme
"Mmm, thanks -- It looks... Hey, wait a minute! Just because I'm wearing a pink shirt, it doesn't mean I'm some kind of a... pink doughnut-eater! Although it is tempting --",mmm thank look hey wait minute wear pink shirt mean kind pink doughnut eater tempting
You don't understand... my son just threw his red hat in with the white laundry...,understand son throw red hat white laundry
"Son, it's no different than the time I let you vote for me. Remember that absentee ballot?",son different time let vote remember absentee ballot
"Yes, I'm hearing one right now, while I'm trying to watch TV.",yes hear right try watch tv
That's a spill on a floor with bugs goin' after it. They're gonna eat it.,spill floor bug go to eat
"Oh, of course I've heard of you. I mean you'd have to be living under a rock not to know -- what'd you say your name was?",oh course hear mean live rock know
"Oh, this is so embarrassing, calling 'em from a nut house. I mean, they think I'm a god.",oh embarrassing call nut house mean think god
"Oh great! And uh, try to put a good face on this. Tell them this is one of those places where rich women lose weight.",oh great uh try good face tell place rich woman lose weight
"This place is so strange. Mike, I'm ashamed to admit it to another guy, but I'm... scared.",place strange mike ashamed admit guy scared
"Thanks a lot, Michael. You really helped me get through this. If you ever find your marbles, come visit us.",thank lot michael help find marble come visit
"Boy, when I get home, I'm going to wrap my hands around your neck --",boy home go wrap hand neck
"Now listen. I'm bringing Michael Jackson home to stay with us for a few days... Isn't that cute -- he's heard of you! Now, make sure we have plenty of cold cuts, and put some beer on ice.",listen bring michael jackson home stay day cute hear sure plenty cold cut beer ice
"Stupid junk mail... ""You May Have Already Won!"" Yeah, win this... ""Here's Good News for Homer Simpsoy""... I'll see that he gets it. How dumb do they think I am?",stupid junk mail won yeah win good news homer simpsoy get dumb think
I had a feeling it was too good to be true. Every time you get a million dollars something queers the deal.,feeling good true time million dollar queer deal
"Marge, I never read a magazine in my life and I'm not gonna start now.",marge read magazine life go to start
"Oh, Marge. Cartoons don't have any deep meaning. They're just stupid drawings that give you a cheap laugh.",oh marge cartoon deep meaning stupid drawing cheap laugh
"As Tolstoy said in ""Quotable Notables,"" ""Give me learning, sir, and you may keep your black bread.""",tolstoy say quotable notables learning sir black bread
"Marge, look at them staring at that idiot box. God forbid they would ever read something and improve their minds.",marge look stare idiot box god forbid read improve mind
"It's not just one magazine, Marge. They take hundreds of magazines, filter out the crap, and leave you with something that fits right in your front pocket.",magazine marge hundred magazine filter crap leave fit right pocket
We're all gonna sit down as a family and listen to an inspiring story of wilderness survival.,go to sit family listen inspire story wilderness survival
Then I heard the sound that all Arctic explorers dread: The pitiless bark of the sea lion. He'll be killed!,hear sound arctic explorer dread pitiless bark sea lion kill
"Marge, you have a nice body. And if you'd like to see me in a costume, you have only to ask.",marge nice body like costume ask
Where do you think? This baby never steers you wrong. And it was free. Free!,think baby steer wrong free free
"Wow! ""Win a Trip to Washington D.C.""! ""All expenses paid... VIP tour""... Oh. It's for kids.",wow win trip washington expense pay vip tour oh kid
Woo hoo! Who would've guessed reading and writing would pay off?,woo hoo guess reading writing pay
"Playing cards, notepad, aspirin, sewing kit, pilot's wing pin, propellor-shaped swizzle stick, sleeping mask and anything else I've got coming to me.",play card notepad aspirin sewing kit pilot wing pin propellor shape swizzle stick sleeping mask got come
"Shoe goes on, shoe goes off. Shoe goes on, shoe goes off. Shoe goes on, shoe goes off.",shoe go shoe go shoe go shoe go shoe go shoe go
"Ooh! I love your magazine. My favorite section is ""How To Increase Your Word Power."" That thing is really, really, really good.",ooh love magazine favorite section increase word power thing good
"Oh, here we go again. Look, I don't care if Ned Flanders is the nicest guy in the world, he's a jerk. End of story.",oh look care ned flanders nice guy world jerk end story
"Excuse me? Better? Thanks a lot, Marge, you really put me in my place.",excuse well thank lot marge place
"Don't get me wrong, it's worth feeling three inches tall to find out what kind of a person you really are. Marge Simpson... President of the International We Love Flanders Fan Club...",wrong worth feel inch tall find kind person marge simpson president international love flanders fan club
"Stupid Flanders... always showing off. Go ahead, Marge, have a ball... What if they game back and I was dead from not eating? They'd cry their eyes out. We should have never gone to the Flanders'. Oh, why did we go to the Flanders' house and leave Homer all alone with no food. And I'd be laughing. Laughing from my grave.",stupid flanders show ahead marge ball game dead eat cry eye go flanders oh flanders house leave homer food laugh laugh grave
"Hey, everyone, I'm back! Great to see ya! Nice seein' ya!",hey great ya nice seein ya
Uh... Sounds like a pretty dumb idea to me.,uh sound like pretty dumb idea
"Fun? Where is this store, Flanders? The merry old land of Oz?",fun store flanders merry old land oz
Yesssss! Oh yessss! Read it and weep. In your face. I've got more chicken bone!,yesssss oh yessss read weep face get chicken bone
"Marge, TV gives so much and asks so little. It's a boy's best friend.",marge tv give ask little boy good friend
"See, Marge? You knock TV and then it helps you out. I think you owe somebody a little apology.",marge knock tv help think owe somebody little apology
"I'm telling you, Flanders' store was dee-serted. So what do you think of your bestest buddy now, Marge?",tell flanders store dee serte think best buddy marge
"Oh, come on, Lisa. I'm just glad to see him fall flat on his butt. He's usually all happy and comfortable and surrounded by loved ones, and it makes me feel... What's the opposite of that shameful joy thing of yours?",oh come lisa glad fall flat butt usually happy comfortable surround love one make feel opposite shameful joy thing
"Yeah, come on boy, this better be worth my ten bucks.",yeah come boy well worth buck
Lousy. He just sits there all day. He'd have a great job if he didn't own the place.,lousy sit day great job place
"Apple, apple, apple... Come on candy bar. Hey, I know you! You're that first apple I didn't want. That sinks it. I'm really gonna let 'em have it this time!",apple apple apple come candy bar hey know apple want sink go to let time
"Oh, I get it. It's not good enough for you, but it's good enough for me! Well, I wouldn't be caught dead buying this... Hello!",oh good good catch dead buy hello
Sorry! No cash for Neddie! Homer keep all money! Bye bye Neddie! Bye bye!,sorry cash neddie homer money bye bye neddie bye bye
"I changed my mind. It was a passing fancy. Although perhaps if you threw in a few lawn chairs, maybe that tool bench, it might rekindle my interest.",change mind pass fancy throw lawn chair maybe tool bench rekindle interest
"I know, but... Wait a minute. I'm Homer Simpson. Ned Flanders lives over there.",know wait minute homer simpson ned flanders live
"Knock 'em dead, boy! Kid's gonna be a black belt in no time.",knock dead boy kid go to black belt time
"Hello, Jerry? Homer Simpson. Remember last month, when I paid back that loan? Well, now I need you to do a favor for me.",hello jerry homer simpson remember month pay loan need favor
To Ned Flanders... the richest left- handed man in town.,ned flanders rich handed man town
"Hey, look what I got. A genuine official police badge... Calling all cars... come out with your hands up!",hey look get genuine official police badge call car come hand
"That's Officer Homer. Heh heh, heh, heh.",officer homer heh heh heh heh
"Yeah, right. Son... I'm gonna teach you a lesson. I'm going to stand here and watch you smoke every one of those cigarettes. Then maybe you'll learn...",yeah right son go to teach lesson go stand watch smoke cigarette maybe learn
"A job's a job. I mean, take me. If my plant pollutes the water and poisons the town, by your logic that would make me a criminal.",job job mean plant pollute water poison town logic criminal
"Hee hee, hee-hee-hee! Read 'em and weep boys, another pair of sixes.",hee hee hee hee hee read weep boy pair six
"You know if you need a hat check girl, I've got a daughter.",know need hat check girl get daughter
"Marge, the only thing going on down there was a lot of male bonding.",marge thing go lot male bonding
"Well, not the leader... I mean... Oh, it's true, it's true! All the pieces fit.",leader mean oh true true piece fit
"Eww, lemon... ugh, cherry... hmm, custard... mmm, purple.",eww lemon ugh cherry hmm custard mmm purple
You know who the real crooks are? Those sleazy Hollywood Producers.,know real crook sleazy hollywood producers
"Here's good news. According to this eye-catching article, SAT scores are declining at a slower rate.",good news accord eye catch article sat score decline slow rate
"Hey, this is the only paper in America that's not afraid to tell the truth: that everything is just fine.",hey paper america afraid tell truth fine
"Critical wha...? Okay, okay, don't panic. Whosever problem this is, I'm sure they know how to handle it.",critical wha okay okay panic whosever problem sure know handle
"Gotta think! Gotta think! Okay, somewhere there's a thingee that tells you how to work this stuff. The um... the, uh... the manual! The manual! RIGHT.",get to think get to think okay thingee tell work stuff um uh manual manual right
"Yeah, yeah, yeah, push the button, got it.",yeah yeah yeah push button get
"This is all your fault! Okay, gotta pick a button. Pick a button. Pick a button. Uh, one potato, two potato, three potato, four... No, wait! Bubble gum, bubble gum, in a dish, how many pieces do you wish? No, no!",fault okay get to pick button pick button pick button uh potato potato potato wait bubble gum bubble gum dish piece wish
"Eenie meenie minee moe, catch a tiger by the toe, if he hollers let him go... Eenie meenie minee... Moe.",eenie meenie minee moe catch tiger toe hollers let eenie meenie minee moe
"Hey, you know boys, a nuclear reactor's a lot like a woman. You just have to read the manual and press the right button.",hey know boy nuclear reactor lot like woman read manual press right button
"Uh, Magic. What if people think a guy's a hero but he was really just lucky?",uh magic people think guy hero lucky
"Look, I get enough admiration and respect at work. I don't need it here at home.",look admiration respect work need home
That four-eyes with the big nose? You don't need friends like that.,eye big nose need friend like
"Eeenie meenie minee moe, catch a tiger by the toe... If he hollers let him go, eenie meenie minee moe.",eeenie meenie minee moe catch tiger toe holler let eenie meenie minee moe
"Hey Krusty, are you gonna finish that meatloaf or what?",hey krusty go to finish meatloaf
What a dump. Why would Princess Grace live in a place like this?,dump princess grace live place like
"C'mom pal, I don't wanna hear your life story. Paw me!",pal wanna hear life story paw
"Marge, don't flake out on me. That monkey's paw is gonna make our dreams come true.",marge flake monkey paw go to dream come true
"Ooh, a luxury car. Good baby. Good Maggie.",ooh luxury car good baby good maggie
"Come to think of it, the guy that sold me this thing did say the wishes would bring grave misfortune. I thought he was just being colorful.",come think guy sell thing wish bring grave misfortune think colorful
"Ok, Ok. I'll make a wish that can't backfire. I wish for a turkey sandwich, on rye bread, with lettuce and mustard, And...AND! I don't want any zombie turkeys, I don't want to turn into a turkey myself, and I don't want any other weird surprises. You got it?",ok ok wish backfire wish turkey sandwich rye bread lettuce mustard want zombie turkey want turn turkey want weird surprise get
"Hey... Hmm. Not bad. Nice hot mustard... good bread... Turkey's a little dry. The turkey's a little dry?! Oh foul, accursed thing! What demon from the depths of hell created thee?!",hey hmm bad nice hot mustard good bread turkey little dry turkey little dry oh foul accurse thing demon depth hell create thee
"Yeah, but I gotta warn you that this thing is ee ... Yeah, that's what it is. Wanna try it? Heh, heh, heh.",yeah get to warn thing ee yeah wanna try heh heh heh
Hiya Bart!!! How's my boy! Heh heh. Heh heh.,hiya bart boy heh heh heh heh
"It's good that you made that awful thing, Bart. It's real good.",good awful thing bart real good
Shut up boy. If they make this field goal I win fifty bucks.,shut boy field goal win buck
"Slowly... slowly... don't make a sound... don't even think, because he can hear your thoughts... then, when he's least expecting it, bash his head in with a chair. End of monster. Heh heh heh.",slowly slowly sound think hear thought expect bash head chair end monster heh heh heh
"Well, okay then... ... Four o'clock... Coupla hours I have to get up and go to work... gotta go to work... go to work.",okay coupla hour work get to work work
"Wow! And after them, out of all the people in the world, you chose me. Uh huh, yeah, number four and a half reed.",wow people world choose uh huh yeah number half reed
"Hurry, Moe, hurry! I've only got five minutes till the music store closes.",hurry moe hurry get minute till music store close
"Hmm. ""Lisa stop playing that stupid... saxophone!"" Yes! That's it!",hmm lisa stop play stupid saxophone yes
"Okay, okay. But I want you to see a picture of the little girl you're disappointing. Well I don't have one.",okay okay want picture little girl disappointing
"Look, I let you down and I apologize. I know that doesn't make it right, but I hope you can find it in your heart to forgive me.",look let apologize know right hope find heart forgive
"Maybe I should just cut my losses, give up on Lisa, and make a fresh start with Maggie.",maybe cut loss lisa fresh start maggie
"Marge, if I spend any more time doing these girl things, I'm gonna -- you know -- go fruity. No, you were right the first time with that quick fix idea. Let's see, quick fix, quick fix. Ah, I'll buy her that pony she's always bugging me for.",marge spend time girl thing go to know fruity right time quick fix idea let quick fix quick fix ah buy pony bug
"Marge, with today's gasoline prices, we can't afford not to buy a pony.",marge today gasoline price afford buy pony
"Marge, I've got to get her a pony. When I look in Lisa's eyes, I don't see love anymore.",marge get pony look lisa eye love anymore
"""Scot-tish deer-hound."" Hey, this is a dog!",scot tish deer hound hey dog
"Now lady, I'm buying this pony for my little girl, and I don't care what it costs.",lady buy pony little girl care cost
Isn't there like a pound where you can pick up cheap ponies that ran away from home?,like pound pick cheap pony run away home
I know you love me. So you don't get squat. Hee hee hee hee.,know love squat hee hee hee hee
I've got it all figured out. By day it will roam free around the neighborhood. And at night it will nestle snugly between the cars in our garage.,get figure day roam free neighborhood night nestle snugly car garage
"Fine, I will. There's plenty of money out there for a guy who's willing to work for it.",fine plenty money guy willing work
"Liberty Bell... Two Liberty Bells... come on, come on, come on... Oh. Yes! Whoo-hoo! Three Liberty Bells! That'll be TEN thousand dollars, Apu.",liberty bell liberty bells come come come oh yes whoo hoo liberty bells thousand dollar apu
"Marge, could we go in the other room? I did something last night I'm not proud of and I don't want the kids to hear it.",marge room night proud want kid hear
"I'll work form midnight to eight, come home, sleep for five minutes, eat breakfast, sleep six more minutes, shower, then I have ten minutes to spend as I please. Then I'm off to the power plant, fresh as a daisy.",work form midnight come home sleep minute eat breakfast sleep minute shower minute spend power plant fresh daisy
"Yes I do. You see Lisa, grownups have a thing called money...",yes lisa grownup thing call money
Bart! You can't weld with such a little flame. Stupid kid.,bart weld little flame stupid kid
"Uh, let's see, Bart's friends... Well, there's the fat kid with the thing... uh... the little wiener who's always got his hands in his pockets.",uh let bart friend fat kid thing uh little wiener get hand pocket
"Oh, my God. I don't know jack about my boy... I'm a bad father!",oh god know jack boy bad father
I'm Homer Simpson. I just took your test. I got a zero.,homer simpson take test get zero
"Well, that's easy for you to say, you preachy egg-headed institute guy. How much do you see your son?",easy preachy egg head institute guy son
Bart!... I'm gonna help you build that racer.,bart go to help build racer
But you can use me. I'm good. I've built a lot of things around the house... The spice rack... The birdfeeder... The gymboree.,use good build lot thing house spice rack birdfeeder gymboree
"Hmm... ""Cosby's first law of intergenerational perversity: No matter what you tell your child to do, he will always do the opposite."" Huh?",hmm cosby law intergenerational perversity matter tell child opposite huh
